Player Id,Name,Position,Year,Team,Games Played,Games Started
gregfeasel/2513891,"Feasel, Greg",,1987,San Diego Chargers,3,0
gregfeasel/2513891,"Feasel, Greg",,1986,Green Bay Packers,15,0
toddsandham/2524884,"Sandham, Todd",,1987,New England Patriots,2,0
zachfulton/2543862,"Fulton, Zach",G,2016,Kansas City Chiefs,16,12
zachfulton/2543862,"Fulton, Zach",G,2015,Kansas City Chiefs,16,6
zachfulton/2543862,"Fulton, Zach",G,2014,Kansas City Chiefs,16,16
bobtalamini/2526988,"Talamini, Bob",,1968,New York Jets,14,0
bobtalamini/2526988,"Talamini, Bob",,1967,Houston Oilers,14,0
bobtalamini/2526988,"Talamini, Bob",,1966,Houston Oilers,14,0
bobtalamini/2526988,"Talamini, Bob",,1965,Houston Oilers,14,0
bobtalamini/2526988,"Talamini, Bob",,1964,Houston Oilers,14,0
bobtalamini/2526988,"Talamini, Bob",,1963,Houston Oilers,14,0
bobtalamini/2526988,"Talamini, Bob",,1962,Houston Oilers,14,0
bobtalamini/2526988,"Talamini, Bob",,1961,Houston Oilers,14,0
bobtalamini/2526988,"Talamini, Bob",,1960,Houston Oilers,14,0
bapmanzini/2520102,"Manzini, Bap",,1948,Detroit Lions,1,0
bapmanzini/2520102,"Manzini, Bap",,1948,Philadelphia Eagles,3,0
bapmanzini/2520102,"Manzini, Bap",,1945,Philadelphia Eagles,9,0
bapmanzini/2520102,"Manzini, Bap",,1944,Philadelphia Eagles,10,0
bryceharris/2532859,"Harris, Bryce",T,2016,Miami Dolphins,0,0
bryceharris/2532859,"Harris, Bryce",T,2016,Jacksonville Jaguars,0,0
bryceharris/2532859,"Harris, Bryce",T,2015,Atlanta Falcons,1,0
bryceharris/2532859,"Harris, Bryce",T,2014,New Orleans Saints,16,2
bryceharris/2532859,"Harris, Bryce",T,2013,New Orleans Saints,16,1
bryceharris/2532859,"Harris, Bryce",T,2012,New Orleans Saints,2,1
t.j.johnson/2540251,"Johnson, T.J.",OG,2016,Cincinnati Bengals,16,1
t.j.johnson/2540251,"Johnson, T.J.",OG,2015,Cincinnati Bengals,12,0
t.j.johnson/2540251,"Johnson, T.J.",OG,2014,Cincinnati Bengals,4,0
mattmccants/2532905,"McCants, Matt",T,2016,Chicago Bears,2,0
mattmccants/2532905,"McCants, Matt",T,2016,Oakland Raiders,2,0
mattmccants/2532905,"McCants, Matt",T,2015,Oakland Raiders,2,0
mattmccants/2532905,"McCants, Matt",T,2014,Oakland Raiders,11,0
mattmccants/2532905,"McCants, Matt",T,2013,Oakland Raiders,13,3
taylorlewan/2550132,"Lewan, Taylor",T,2016,Tennessee Titans,16,16
taylorlewan/2550132,"Lewan, Taylor",T,2015,Tennessee Titans,15,15
taylorlewan/2550132,"Lewan, Taylor",T,2014,Tennessee Titans,11,6
micktingelhoff/2527445,"Tingelhoff, Mick",,1978,Minnesota Vikings,16,0
micktingelhoff/2527445,"Tingelhoff, Mick",,1977,Minnesota Vikings,14,0
micktingelhoff/2527445,"Tingelhoff, Mick",,1976,Minnesota Vikings,14,0
micktingelhoff/2527445,"Tingelhoff, Mick",,1975,Minnesota Vikings,14,0
micktingelhoff/2527445,"Tingelhoff, Mick",,1974,Minnesota Vikings,14,0
micktingelhoff/2527445,"Tingelhoff, Mick",,1973,Minnesota Vikings,14,0
micktingelhoff/2527445,"Tingelhoff, Mick",,1972,Minnesota Vikings,14,0
micktingelhoff/2527445,"Tingelhoff, Mick",,1971,Minnesota Vikings,14,0
micktingelhoff/2527445,"Tingelhoff, Mick",,1970,Minnesota Vikings,14,0
micktingelhoff/2527445,"Tingelhoff, Mick",,1969,Minnesota Vikings,14,0
micktingelhoff/2527445,"Tingelhoff, Mick",,1968,Minnesota Vikings,14,0
micktingelhoff/2527445,"Tingelhoff, Mick",,1967,Minnesota Vikings,14,0
micktingelhoff/2527445,"Tingelhoff, Mick",,1966,Minnesota Vikings,14,0
micktingelhoff/2527445,"Tingelhoff, Mick",,1965,Minnesota Vikings,14,0
micktingelhoff/2527445,"Tingelhoff, Mick",,1964,Minnesota Vikings,14,0
micktingelhoff/2527445,"Tingelhoff, Mick",,1963,Minnesota Vikings,14,0
micktingelhoff/2527445,"Tingelhoff, Mick",,1962,Minnesota Vikings,14,0
jackfrantz/2514386,"Frantz, Jack",,1968,Buffalo Bills,2,0
chrisdalman/2500274,"Dalman, Chris",,2000,San Francisco 49ers,0,0
chrisdalman/2500274,"Dalman, Chris",,1999,San Francisco 49ers,15,15
chrisdalman/2500274,"Dalman, Chris",,1998,San Francisco 49ers,15,15
chrisdalman/2500274,"Dalman, Chris",,1997,San Francisco 49ers,13,13
chrisdalman/2500274,"Dalman, Chris",,1996,San Francisco 49ers,16,16
chrisdalman/2500274,"Dalman, Chris",,1995,San Francisco 49ers,15,1
chrisdalman/2500274,"Dalman, Chris",,1994,San Francisco 49ers,16,4
chrisdalman/2500274,"Dalman, Chris",,1993,San Francisco 49ers,15,0
georgefant/2556524,"Fant, George",OT,2016,Seattle Seahawks,14,10
bartoates/2502333,"Oates, Bart",,1995,San Francisco 49ers,16,14
bartoates/2502333,"Oates, Bart",,1994,San Francisco 49ers,16,15
bartoates/2502333,"Oates, Bart",,1993,New York Giants,16,15
bartoates/2502333,"Oates, Bart",,1992,New York Giants,16,15
bartoates/2502333,"Oates, Bart",,1991,New York Giants,16,16
bartoates/2502333,"Oates, Bart",,1990,New York Giants,16,0
bartoates/2502333,"Oates, Bart",,1989,New York Giants,16,0
bartoates/2502333,"Oates, Bart",,1988,New York Giants,16,0
bartoates/2502333,"Oates, Bart",,1987,New York Giants,12,0
bartoates/2502333,"Oates, Bart",,1986,New York Giants,16,0
bartoates/2502333,"Oates, Bart",,1985,New York Giants,16,0
jimlanger/2519060,"Langer, Jim",,1981,Minnesota Vikings,9,0
jimlanger/2519060,"Langer, Jim",,1980,Minnesota Vikings,13,0
jimlanger/2519060,"Langer, Jim",,1979,Miami Dolphins,9,0
jimlanger/2519060,"Langer, Jim",,1978,Miami Dolphins,16,0
jimlanger/2519060,"Langer, Jim",,1977,Miami Dolphins,14,0
jimlanger/2519060,"Langer, Jim",,1976,Miami Dolphins,14,0
jimlanger/2519060,"Langer, Jim",,1975,Miami Dolphins,14,0
jimlanger/2519060,"Langer, Jim",,1974,Miami Dolphins,14,0
jimlanger/2519060,"Langer, Jim",,1973,Miami Dolphins,14,0
jimlanger/2519060,"Langer, Jim",,1972,Miami Dolphins,14,0
jimlanger/2519060,"Langer, Jim",,1971,Miami Dolphins,14,0
jimlanger/2519060,"Langer, Jim",,1970,Miami Dolphins,6,0
russletlow/2519381,"Letlow, Russ",,1946,Green Bay Packers,5,0
russletlow/2519381,"Letlow, Russ",,1942,Green Bay Packers,11,0
russletlow/2519381,"Letlow, Russ",,1941,Green Bay Packers,4,0
russletlow/2519381,"Letlow, Russ",,1940,Green Bay Packers,11,0
russletlow/2519381,"Letlow, Russ",,1939,Green Bay Packers,10,0
russletlow/2519381,"Letlow, Russ",,1938,Green Bay Packers,11,0
russletlow/2519381,"Letlow, Russ",,1937,Green Bay Packers,11,0
russletlow/2519381,"Letlow, Russ",,1936,Green Bay Packers,8,0
bruiserkinard/2518462,"Kinard, Bruiser",,1947,New York Yankees,0,0
bruiserkinard/2518462,"Kinard, Bruiser",,1946,New York Yankees,0,0
bruiserkinard/2518462,"Kinard, Bruiser",,1944,Brooklyn Tigers,10,0
bruiserkinard/2518462,"Kinard, Bruiser",,1943,Brooklyn Dodgers,10,0
bruiserkinard/2518462,"Kinard, Bruiser",,1942,Brooklyn Dodgers,11,0
bruiserkinard/2518462,"Kinard, Bruiser",,1941,Brooklyn Dodgers,11,0
bruiserkinard/2518462,"Kinard, Bruiser",,1940,Brooklyn Dodgers,9,0
bruiserkinard/2518462,"Kinard, Bruiser",,1939,Brooklyn Dodgers,11,0
bruiserkinard/2518462,"Kinard, Bruiser",,1938,Brooklyn Dodgers,11,0
rogerpillath/2523246,"Pillath, Roger",,1966,Pittsburgh Steelers,6,0
rogerpillath/2523246,"Pillath, Roger",,1965,Los Angeles Rams,14,0
artwebb/2528413,"Webb, Art",,1922,Milwaukee Badgers,8,0
artwebb/2528413,"Webb, Art",,1920,Rochester Jeffersons,8,0
harryrichman/2524130,"Richman, Harry",,1929,Chicago Bears,1,0
robertnelson/2522035,"Nelson, Robert",,1950,Baltimore Colts,3,0
robertnelson/2522035,"Nelson, Robert",,1949,Los Angeles Dons,0,0
robertnelson/2522035,"Nelson, Robert",,1948,Los Angeles Dons,0,0
robertnelson/2522035,"Nelson, Robert",,1947,Los Angeles Dons,0,0
robertnelson/2522035,"Nelson, Robert",,1946,Los Angeles Dons,0,0
robertnelson/2522035,"Nelson, Robert",,1945,Detroit Lions,9,0
robertnelson/2522035,"Nelson, Robert",,1941,Detroit Lions,9,0
johnwetzel/2539207,"Wetzel, John",OT,2016,Arizona Cardinals,16,8
homerreynolds/2524004,"Reynolds, Homer",,1934,St. Louis Gunners,2,0
redseick/2525292,"Seick, Red",,1942,New York Giants,6,0
gabeikard/2550487,"Ikard, Gabe",C,2016,Cleveland Browns,0,0
gabeikard/2550487,"Ikard, Gabe",C,2016,Buffalo Bills,2,0
gabeikard/2550487,"Ikard, Gabe",C,2015,Detroit Lions,1,0
gabeikard/2550487,"Ikard, Gabe",C,2015,Cleveland Browns,0,0
gabeikard/2550487,"Ikard, Gabe",C,2015,Buffalo Bills,3,0
rubeleisk/2519330,"Leisk, Rube",,1937,Brooklyn Dodgers,11,0
henrybassett/2509133,"Bassett, Henry",,1924,Kansas City Blues,7,0
mikeutley/2503443,"Utley, Mike",,1991,Detroit Lions,11,11
mikeutley/2503443,"Utley, Mike",,1990,Detroit Lions,16,0
mikeutley/2503443,"Utley, Mike",,1989,Detroit Lions,5,0
mattlehr/2504672,"Lehr, Matt",,2008,New Orleans Saints,13,3
mattlehr/2504672,"Lehr, Matt",,2007,Tampa Bay Buccaneers,16,0
mattlehr/2504672,"Lehr, Matt",,2006,Atlanta Falcons,11,11
mattlehr/2504672,"Lehr, Matt",,2005,Atlanta Falcons,15,15
mattlehr/2504672,"Lehr, Matt",,2004,St. Louis Rams,0,0
mattlehr/2504672,"Lehr, Matt",,2004,Dallas Cowboys,7,2
mattlehr/2504672,"Lehr, Matt",,2003,Dallas Cowboys,16,16
mattlehr/2504672,"Lehr, Matt",,2002,Dallas Cowboys,12,4
mattlehr/2504672,"Lehr, Matt",,2001,Dallas Cowboys,8,0
richkoeper/2518683,"Koeper, Rich",,1966,Atlanta Falcons,3,0
marcusjohnson/2506388,"Johnson, Marcus",,2009,Tampa Bay Buccaneers,6,0
marcusjohnson/2506388,"Johnson, Marcus",,2008,Minnesota Vikings,7,0
marcusjohnson/2506388,"Johnson, Marcus",,2007,Minnesota Vikings,16,0
marcusjohnson/2506388,"Johnson, Marcus",,2006,Minnesota Vikings,10,10
marcusjohnson/2506388,"Johnson, Marcus",,2005,Minnesota Vikings,14,8
stanmauldin/2520388,"Mauldin, Stan",,1948,Chicago Cardinals,1,0
stanmauldin/2520388,"Mauldin, Stan",,1947,Chicago Cardinals,12,0
stanmauldin/2520388,"Mauldin, Stan",,1946,Chicago Cardinals,6,0
freddean/2512679,"Dean, Fred",,1982,Washington Redskins,5,0
freddean/2512679,"Dean, Fred",,1980,Washington Redskins,12,0
freddean/2512679,"Dean, Fred",,1979,Washington Redskins,15,0
freddean/2512679,"Dean, Fred",,1978,Washington Redskins,8,0
freddean/2512679,"Dean, Fred",,1977,Chicago Bears,0,0
redseidelson/2525293,"Seidelson, Red",,1926,Akron Indians,7,0
redseidelson/2525293,"Seidelson, Red",,1925,Frankford Yellow Jackets,10,0
jasonodom/2502339,"Odom, Jason",,2000,Tampa Bay Buccaneers,0,0
jasonodom/2502339,"Odom, Jason",,1999,Tampa Bay Buccaneers,3,3
jasonodom/2502339,"Odom, Jason",,1998,Tampa Bay Buccaneers,15,15
jasonodom/2502339,"Odom, Jason",,1997,Tampa Bay Buccaneers,16,16
jasonodom/2502339,"Odom, Jason",,1996,Tampa Bay Buccaneers,12,7
danjames/2517371,"James, Dan",,1967,Chicago Bears,2,0
danjames/2517371,"James, Dan",,1966,Pittsburgh Steelers,10,0
danjames/2517371,"James, Dan",,1965,Pittsburgh Steelers,13,0
danjames/2517371,"James, Dan",,1964,Pittsburgh Steelers,14,0
danjames/2517371,"James, Dan",,1963,Pittsburgh Steelers,14,0
danjames/2517371,"James, Dan",,1962,Pittsburgh Steelers,14,0
danjames/2517371,"James, Dan",,1961,Pittsburgh Steelers,14,0
danjames/2517371,"James, Dan",,1960,Pittsburgh Steelers,12,0
brianthure/2503352,"Thure, Brian",,1996,Washington Redskins,0,0
brianthure/2503352,"Thure, Brian",,1995,Washington Redskins,4,0
ralphmaillard/2520000,"Maillard, Ralph",,1929,Chicago Bears,4,0
jimmacmurdo/2519931,"MacMurdo, Jim",,1937,Philadelphia Eagles,3,0
jimmacmurdo/2519931,"MacMurdo, Jim",,1936,Philadelphia Eagles,9,0
jimmacmurdo/2519931,"MacMurdo, Jim",,1935,Philadelphia Eagles,4,0
jimmacmurdo/2519931,"MacMurdo, Jim",,1934,Philadelphia Eagles,11,0
jimmacmurdo/2519931,"MacMurdo, Jim",,1933,Boston Redskins,10,0
jimmacmurdo/2519931,"MacMurdo, Jim",,1932,Boston Braves,10,0
urbanodson/2522398,"Odson, Urban",,1949,Green Bay Packers,10,0
urbanodson/2522398,"Odson, Urban",,1948,Green Bay Packers,12,0
urbanodson/2522398,"Odson, Urban",,1947,Green Bay Packers,11,0
urbanodson/2522398,"Odson, Urban",,1946,Green Bay Packers,6,0
ivanquinn/2523654,"Quinn, Ivan",,1924,Kansas City Blues,1,0
rogertaylor/2527113,"Taylor, Roger",,1981,Kansas City Chiefs,13,0
jctretter/2540292,"Tretter, JC",C,2016,Green Bay Packers,7,7
jctretter/2540292,"Tretter, JC",C,2015,Green Bay Packers,16,3
jctretter/2540292,"Tretter, JC",C,2014,Green Bay Packers,8,0
jctretter/2540292,"Tretter, JC",C,2013,Green Bay Packers,0,0
alexlewis/2555353,"Lewis, Alex",OG,2016,Baltimore Ravens,10,8
dennisnorman/2504623,"Norman, Dennis",,2009,San Diego Chargers,10,0
dennisnorman/2504623,"Norman, Dennis",,2008,Jacksonville Jaguars,16,14
dennisnorman/2504623,"Norman, Dennis",,2007,Jacksonville Jaguars,15,5
dennisnorman/2504623,"Norman, Dennis",,2006,Jacksonville Jaguars,16,1
dennisnorman/2504623,"Norman, Dennis",,2005,Jacksonville Jaguars,16,4
dennisnorman/2504623,"Norman, Dennis",,2004,Jacksonville Jaguars,0,0
dennisnorman/2504623,"Norman, Dennis",,2004,Seattle Seahawks,0,0
dennisnorman/2504623,"Norman, Dennis",,2003,Seattle Seahawks,1,0
dennisnorman/2504623,"Norman, Dennis",,2002,Seattle Seahawks,0,0
dennisnorman/2504623,"Norman, Dennis",,2001,Seattle Seahawks,0,0
joefrank/2514350,"Frank, Joe",,1943,Phil-Pitt Combine,2,0
joefrank/2514350,"Frank, Joe",,1942,Philadelphia Eagles,1,0
joefrank/2514350,"Frank, Joe",,1941,Philadelphia Eagles,11,0
trevorrobinson/2535842,"Robinson, Trevor",G,2016,Atlanta Falcons,0,0
trevorrobinson/2535842,"Robinson, Trevor",G,2015,San Diego Chargers,16,13
trevorrobinson/2535842,"Robinson, Trevor",G,2014,San Diego Chargers,3,1
trevorrobinson/2535842,"Robinson, Trevor",G,2013,Cincinnati Bengals,6,0
trevorrobinson/2535842,"Robinson, Trevor",G,2012,Cincinnati Bengals,13,7
rodneyhudson/2495171,"Hudson, Rodney",C,2016,Oakland Raiders,16,16
rodneyhudson/2495171,"Hudson, Rodney",C,2015,Oakland Raiders,13,13
rodneyhudson/2495171,"Hudson, Rodney",C,2014,Kansas City Chiefs,16,16
rodneyhudson/2495171,"Hudson, Rodney",C,2013,Kansas City Chiefs,16,15
rodneyhudson/2495171,"Hudson, Rodney",C,2012,Kansas City Chiefs,3,3
rodneyhudson/2495171,"Hudson, Rodney",C,2011,Kansas City Chiefs,16,1
jimailinger/2508270,"Ailinger, Jim",,1924,Buffalo Bisons,8,0
davereavis/2523822,"Reavis, Dave",,1983,Tampa Bay Buccaneers,15,0
davereavis/2523822,"Reavis, Dave",,1982,Tampa Bay Buccaneers,7,0
davereavis/2523822,"Reavis, Dave",,1981,Tampa Bay Buccaneers,12,0
davereavis/2523822,"Reavis, Dave",,1980,Tampa Bay Buccaneers,16,0
davereavis/2523822,"Reavis, Dave",,1979,Tampa Bay Buccaneers,16,0
davereavis/2523822,"Reavis, Dave",,1978,Tampa Bay Buccaneers,16,0
davereavis/2523822,"Reavis, Dave",,1977,Tampa Bay Buccaneers,14,0
davereavis/2523822,"Reavis, Dave",,1976,Tampa Bay Buccaneers,1,0
davereavis/2523822,"Reavis, Dave",,1975,Pittsburgh Steelers,10,0
davereavis/2523822,"Reavis, Dave",,1974,Pittsburgh Steelers,14,0
curtdigiacomo/2512931,"DiGiacomo, Curt",,1988,Kansas City Chiefs,12,0
curtdigiacomo/2512931,"DiGiacomo, Curt",,1986,San Diego Chargers,3,0
miketaylor/2527106,"Taylor, Mike",,1973,St. Louis Cardinals,6,0
miketaylor/2527106,"Taylor, Mike",,1971,Washington Redskins,5,0
miketaylor/2527106,"Taylor, Mike",,1970,New Orleans Saints,11,0
miketaylor/2527106,"Taylor, Mike",,1969,New Orleans Saints,1,0
miketaylor/2527106,"Taylor, Mike",,1969,Pittsburgh Steelers,9,0
miketaylor/2527106,"Taylor, Mike",,1968,Pittsburgh Steelers,14,0
raygeorge/2514766,"George, Ray",,1940,Philadelphia Eagles,2,0
raygeorge/2514766,"George, Ray",,1939,Detroit Lions,11,0
wallacedickey/2512903,"Dickey, Wallace",,1969,Denver Broncos,12,0
wallacedickey/2512903,"Dickey, Wallace",,1968,Denver Broncos,10,0
claudeterrell/2506471,"Terrell, Claude",,2007,St. Louis Rams,6,3
claudeterrell/2506471,"Terrell, Claude",,2006,St. Louis Rams,0,0
claudeterrell/2506471,"Terrell, Claude",,2005,St. Louis Rams,14,10
bubbapena/2522969,"Pena, Bubba",,1972,Cleveland Browns,7,0
johnchoma/2511449,"Choma, John",,1983,San Francisco 49ers,6,0
johnchoma/2511449,"Choma, John",,1982,San Francisco 49ers,7,0
johnchoma/2511449,"Choma, John",,1981,San Francisco 49ers,14,0
johnchoma/2511449,"Choma, John",,1979,Kansas City Chiefs,0,0
tupepeko/2504607,"Peko, Tupe",,2004,Indianapolis Colts,11,8
tupepeko/2504607,"Peko, Tupe",,2003,Indianapolis Colts,16,1
tupepeko/2504607,"Peko, Tupe",,2002,Indianapolis Colts,0,0
jonjansen/2501362,"Jansen, Jon",,2009,Detroit Lions,11,2
jonjansen/2501362,"Jansen, Jon",,2008,Washington Redskins,14,11
jonjansen/2501362,"Jansen, Jon",,2007,Washington Redskins,1,1
jonjansen/2501362,"Jansen, Jon",,2006,Washington Redskins,15,15
jonjansen/2501362,"Jansen, Jon",,2005,Washington Redskins,16,16
jonjansen/2501362,"Jansen, Jon",,2004,Washington Redskins,0,0
jonjansen/2501362,"Jansen, Jon",,2003,Washington Redskins,16,16
jonjansen/2501362,"Jansen, Jon",,2002,Washington Redskins,16,16
jonjansen/2501362,"Jansen, Jon",,2001,Washington Redskins,16,16
jonjansen/2501362,"Jansen, Jon",,2000,Washington Redskins,16,16
jonjansen/2501362,"Jansen, Jon",,1999,Washington Redskins,16,16
georgelilja/2519506,"Lilja, George",,1987,Dallas Cowboys,5,0
georgelilja/2519506,"Lilja, George",,1986,Cleveland Browns,16,0
georgelilja/2519506,"Lilja, George",,1985,Cleveland Browns,16,0
georgelilja/2519506,"Lilja, George",,1984,Cleveland Browns,4,0
georgelilja/2519506,"Lilja, George",,1984,New York Jets,3,0
georgelilja/2519506,"Lilja, George",,1983,New York Jets,1,0
georgelilja/2519506,"Lilja, George",,1983,Los Angeles Rams,0,0
georgelilja/2519506,"Lilja, George",,1982,Los Angeles Rams,9,0
tannerpurdum/2507549,"Purdum, Tanner",LS,2016,New York Jets,16,0
tannerpurdum/2507549,"Purdum, Tanner",LS,2015,New York Jets,16,0
tannerpurdum/2507549,"Purdum, Tanner",LS,2014,New York Jets,16,0
tannerpurdum/2507549,"Purdum, Tanner",LS,2013,New York Jets,16,0
tannerpurdum/2507549,"Purdum, Tanner",LS,2012,New York Jets,16,0
tannerpurdum/2507549,"Purdum, Tanner",LS,2011,New York Jets,16,0
tannerpurdum/2507549,"Purdum, Tanner",LS,2010,New York Jets,16,0
joeamstutz/2508446,"Amstutz, Joe",,1957,Cleveland Browns,11,0
danfowler/2514298,"Fowler, Dan",,1979,New York Giants,1,0
erniebarnes/2509016,"Barnes, Ernie",,1964,Denver Broncos,11,0
erniebarnes/2509016,"Barnes, Ernie",,1963,Denver Broncos,14,0
erniebarnes/2509016,"Barnes, Ernie",,1962,San Diego Chargers,3,0
erniebarnes/2509016,"Barnes, Ernie",,1961,San Diego Chargers,10,0
erniebarnes/2509016,"Barnes, Ernie",,1960,New York Titans,5,0
frano'brien/2522349,"O'Brien, Fran",,1968,Pittsburgh Steelers,14,0
frano'brien/2522349,"O'Brien, Fran",,1967,Pittsburgh Steelers,4,0
frano'brien/2522349,"O'Brien, Fran",,1966,Pittsburgh Steelers,11,0
frano'brien/2522349,"O'Brien, Fran",,1966,Washington Redskins,2,0
frano'brien/2522349,"O'Brien, Fran",,1965,Washington Redskins,14,0
frano'brien/2522349,"O'Brien, Fran",,1964,Washington Redskins,14,0
frano'brien/2522349,"O'Brien, Fran",,1963,Washington Redskins,13,0
frano'brien/2522349,"O'Brien, Fran",,1962,Washington Redskins,14,0
frano'brien/2522349,"O'Brien, Fran",,1961,Washington Redskins,14,0
frano'brien/2522349,"O'Brien, Fran",,1960,Washington Redskins,12,0
frano'brien/2522349,"O'Brien, Fran",,1959,Cleveland Browns,12,0
randyyoung/2529568,"Young, Randy",,1976,Tampa Bay Buccaneers,9,0
stewbarber/2508985,"Barber, Stew",,1969,Buffalo Bills,13,0
stewbarber/2508985,"Barber, Stew",,1968,Buffalo Bills,14,0
stewbarber/2508985,"Barber, Stew",,1967,Buffalo Bills,14,0
stewbarber/2508985,"Barber, Stew",,1966,Buffalo Bills,14,0
stewbarber/2508985,"Barber, Stew",,1965,Buffalo Bills,14,0
stewbarber/2508985,"Barber, Stew",,1964,Buffalo Bills,14,0
stewbarber/2508985,"Barber, Stew",,1963,Buffalo Bills,14,0
stewbarber/2508985,"Barber, Stew",,1962,Buffalo Bills,14,0
stewbarber/2508985,"Barber, Stew",,1961,Buffalo Bills,14,0
dannugent/2522298,"Nugent, Dan",,1980,Washington Redskins,14,0
dannugent/2522298,"Nugent, Dan",,1978,Washington Redskins,16,0
dannugent/2522298,"Nugent, Dan",,1977,Washington Redskins,14,0
dannugent/2522298,"Nugent, Dan",,1976,Washington Redskins,14,0
jefffaine/2505657,"Faine, Jeff",,2012,Cincinnati Bengals,8,7
jefffaine/2505657,"Faine, Jeff",,2011,Tampa Bay Buccaneers,15,15
jefffaine/2505657,"Faine, Jeff",,2010,Tampa Bay Buccaneers,8,8
jefffaine/2505657,"Faine, Jeff",,2009,Tampa Bay Buccaneers,12,12
jefffaine/2505657,"Faine, Jeff",,2008,Tampa Bay Buccaneers,16,16
jefffaine/2505657,"Faine, Jeff",,2007,New Orleans Saints,14,14
jefffaine/2505657,"Faine, Jeff",,2006,New Orleans Saints,16,16
jefffaine/2505657,"Faine, Jeff",,2005,Cleveland Browns,14,14
jefffaine/2505657,"Faine, Jeff",,2004,Cleveland Browns,13,13
jefffaine/2505657,"Faine, Jeff",,2003,Cleveland Browns,9,9
lyonskilliher/2518436,"Killiher, Lyons",,1928,Chicago Cardinals,1,0
skippyscheib/2525016,"Scheib, Skippy",,1930,Brooklyn Dodgers,6,0
knutecaldwell/2510920,"Caldwell, Knute",,1926,Akron Indians,7,0
knutecaldwell/2510920,"Caldwell, Knute",,1925,Akron Indians,5,0
johnurschel/2543845,"Urschel, John",OG,2016,Baltimore Ravens,13,3
johnurschel/2543845,"Urschel, John",OG,2015,Baltimore Ravens,16,7
johnurschel/2543845,"Urschel, John",OG,2014,Baltimore Ravens,11,3
royfoster/2500690,"Foster, Roy",,1993,San Francisco 49ers,1,0
royfoster/2500690,"Foster, Roy",,1992,San Francisco 49ers,16,16
